,,,224.00000691E-3,-40.39999771,,,,,224.00000691E-3,-119.9999899E-3,
,,,228.00001502E-3,-40.39999771,,,,,228.00001502E-3,-119.9999899E-3,
,,,232.00000823E-3,-40.39999771,,,,,232.00000823E-3,-119.9999899E-3,
,,,236.00001633E-3,-40.39999771,,,,,236.00001633E-3,-119.9999899E-3,
,,,240.00000954E-3,-40.39999771,,,,,240.00000954E-3,-119.9999899E-3,
,,,244.00001764E-3,-40.39999771,,,,,244.00001764E-3,-119.9999899E-3,
,,,248.00001085E-3,-40.39999771,,,,,248.00001085E-3,-119.9999899E-3,
,,,252.00000405E-3,-40.39999771,,,,,252.00000405E-3,-119.9999899E-3,
,,,256.00001216E-3,-40.39999771,,,,,256.00001216E-3,-119.9999899E-3,
,,,260.00002027E-3,-40.39999771,,,,,260.00002027E-3,-119.9999899E-3,
,,,263.99999857E-3,-40.39999771,,,,,263.99999857E-3,-119.9999899E-3,
,,,268.00000668E-3,-40.39999771,,,,,268.00000668E-3,-119.9999899E-3,
,,,272.00001478E-3,-40.39999771,,,,,272.00001478E-3,-119.9999899E-3,
,,,276.00002289E-3,-40.39999771,,,,,276.00002289E-3,-119.9999899E-3,
,,,280.00000119E-3,-40.39999771,,,,,280.00000119E-3,-119.9999899E-3,
,,,284.00000930E-3,-40.39999771,,,,,284.00000930E-3,-119.9999899E-3,
,,,288.00001740E-3,-40.39999771,,,,,288.00001740E-3,-119.9999899E-3,
,,,292.00002551E-3,-40.39999771,,,,,292.00002551E-3,-119.9999899E-3,
,,,296.00000381E-3,-40.39999771,,,,,296.00000381E-3,-119.9999899E-3,
,,,300.00001192E-3,-40.39999771,,,,,300.00001192E-3,-119.9999899E-3,
,,,304.00002003E-3,-40.39999771,,,,,304.00002003E-3,-119.9999899E-3,
,,,308.00002813E-3,-40.39999771,,,,,308.00002813E-3,-119.9999899E-3,
,,,312.00000644E-3,-40.39999771,,,,,312.00000644E-3,-119.9999899E-3,
,,,316.00001454E-3,-40.39999771,,,,,316.00001454E-3,-119.9999899E-3,
,,,320.00002265E-3,-40.39999771,,,,,320.00002265E-3,-119.9999899E-3,
,,,324.00000095E-3,-40.39999771,,,,,324.00000095E-3,-119.9999899E-3,
,,,328.00000906E-3,-40.39999771,,,,,328.00000906E-3,-119.9999899E-3,
,,,332.00001717E-3,-40.39999771,,,,,332.00001717E-3,-119.9999899E-3,
,,,336.00002527E-3,-40.39999771,,,,,336.00002527E-3,-119.9999899E-3,
,,,340.00000358E-3,-40.39999771,,,,,340.00000358E-3,-119.9999899E-3,
,,,344.00001168E-3,-40.39999771,,,,,344.00001168E-3,-119.9999899E-3,
,,,348.00001979E-3,-40.39999771,,,,,348.00001979E-3,-119.9999899E-3,
,,,352.00002789E-3,-40.39999771,,,,,352.00002789E-3,-119.9999899E-3,
,,,356.00000620E-3,-40.39999771,,,,,356.00000620E-3,-119.9999899E-3,
,,,360.00001431E-3,-40.39999771,,,,,360.00001431E-3,-119.9999899E-3,
,,,364.00002241E-3,-40.39999771,,,,,364.00002241E-3,-119.9999899E-3,
,,,368.00003052E-3,-40.39999771,,,,,368.00003052E-3,-119.9999899E-3,
,,,372.00000882E-3,-40.39999771,,,,,372.00000882E-3,-119.9999899E-3,
,,,376.00001693E-3,-40.39999771,,,,,376.00001693E-3,-119.9999899E-3,
,,,380.00002503E-3,-40.39999771,,,,,380.00002503E-3,-119.9999899E-3,
,,,384.00000334E-3,-40.39999771,,,,,384.00000334E-3,-119.9999899E-3,
,,,388.00001144E-3,-40.39999771,,,,,388.00001144E-3,-119.9999899E-3,
,,,392.00001955E-3,-40.39999771,,,,,392.00001955E-3,-119.9999899E-3,
